dis,year,month,mday,hour,min,sec,wday,yday
56.64645,2023,12,11,11,20,7,6,345
50.9698,2023,12,11,11,20,10,6,345
40.73125,2023,12,11,11,20,13,6,345
96.7603,2023,12,11,11,20,37,6,345
96.6574,2023,12,11,11,20,38,6,345
98.18375,2023,12,11,11,20,39,6,345
98.2009,2023,12,11,11,20,41,6,345
90.552,2023,12,11,11,20,42,6,345
60.35085,2023,12,11,11,20,43,6,345
7.4088,2023,12,12,7,57,16,0,346
9.51825,2023,12,12,7,57,18,0,346
4.3561,2023,12,12,7,57,19,0,346
94.4965,2023,12,12,8,1,57,0,346
96.16005,2023,12,12,8,3,4,0,346
60.21365,2023,12,12,8,3,48,0,346
97.70354,2023,12,12,8,4,1,0,346
96.12575,2023,12,12,8,11,26,0,346
68.51425,2023,12,12,8,12,23,0,346
92.59285,2023,12,12,8,16,37,0,346
92.52425,2023,12,12,8,17,9,0,346
61.2941,2023,12,12,8,17,31,0,346
98.7154,2023,12,12,8,20,16,0,346
93.07304,2023,12,12,8,21,28,0,346
93.65615,2023,12,12,8,21,35,0,346
74.60249,2023,12,12,8,22,1,0,346
94.23925,2023,12,12,8,22,2,0,346
99.7787,2023,12,12,8,22,51,0,346
36.1865,2023,12,12,8,23,41,0,346
19.22515,2023,12,12,8,23,46,0,346
87.4307,2023,12,12,8,25,6,0,346
41.7774,2023,12,12,8,40,12,0,346
38.26165,2023,12,12,8,40,49,0,346
40.28535,2023,12,12,8,41,9,0,346
64.8613,2023,12,12,8,41,30,0,346
64.8956,2023,12,12,8,41,32,0,346
5.9339,2023,12,12,8,41,33,0,346
37.2841,2023,12,12,8,41,34,0,346
38.2445,2023,12,12,8,41,35,0,346
37.6614,2023,12,12,8,41,36,0,346
37.19835,2023,12,12,8,41,37,0,346
36.68385,2023,12,12,8,41,38,0,346
38.2102,2023,12,12,8,41,39,0,346
38.2788,2023,12,12,8,41,40,0,346
40.28535,2023,12,12,8,41,41,0,346
38.6904,2023,12,12,8,41,42,0,346
37.64425,2023,12,12,8,41,43,0,346
39.70225,2023,12,12,8,41,44,0,346
37.60995,2023,12,12,8,41,45,0,346
16.17245,2023,12,12,8,41,46,0,346
9.998449,2023,12,12,8,41,47,0,346
71.5155,2023,12,12,8,42,14,0,346
61.82575,2023,12,12,8,42,15,0,346
50.47245,2023,12,12,8,45,18,0,346
45.36175,2023,12,12,8,45,19,0,346
31.4874,2023,12,12,8,45,20,0,346
61.7743,2023,12,12,8,45,26,0,346
93.05591,2023,12,12,8,46,8,0,346
78.8557,2023,12,12,8,46,10,0,346
78.7871,2023,12,12,8,46,11,0,346
77.19215,2023,12,12,8,46,12,0,346
92.5071,2023,12,12,8,46,13,0,346
81.68545,2023,12,12,8,46,15,0,346
49.44345,2023,12,12,8,46,29,0,346
67.4338,2023,12,12,8,46,30,0,346
57.26385,2023,12,12,8,46,31,0,346
57.09235,2023,12,12,8,46,32,0,346
56.7322,2023,12,12,8,46,35,0,346
54.14255,2023,12,12,8,46,36,0,346
56.1148,2023,12,12,8,46,37,0,346
56.57785,2023,12,12,8,46,39,0,346
72.08145,2023,12,12,8,47,28,0,346
70.64085,2023,12,12,8,47,29,0,346
95.19965,2023,12,12,8,47,38,0,346
49.9751,2023,12,12,8,53,24,0,346
47.9514,2023,12,12,9,23,19,0,346
66.43909,2023,12,12,9,23,20,0,346
36.2551,2023,12,12,9,23,21,0,346
87.0534,2023,12,12,9,23,22,0,346
87.44784,2023,12,12,9,23,24,0,346
25.81075,2023,12,12,9,23,27,0,346
30.99005,2023,12,12,9,23,30,0,346
29.0178,2023,12,12,9,23,37,0,346
21.8148,2023,12,12,9,23,38,0,346
43.8697,2023,12,12,9,23,40,0,346
71.001,2023,12,12,9,23,41,0,346
47.4369,2023,12,12,9,23,43,0,346
35.5348,2023,12,12,9,23,44,0,346
49.5292,2023,12,12,9,23,45,0,346
67.91399,2023,12,12,9,23,46,0,346
57.1095,2023,12,12,9,23,47,0,346
75.75155,2023,12,12,9,23,48,0,346
31.02435,2023,12,12,9,23,49,0,346
23.8385,2023,12,12,9,23,51,0,346
22.7752,2023,12,12,9,23,52,0,346
28.9835,2023,12,12,9,23,53,0,346
38.2445,2023,12,12,9,23,54,0,346
51.02125,2023,12,12,9,23,55,0,346
38.1759,2023,12,12,9,23,56,0,346
42.2576,2023,12,12,9,23,57,0,346
36.68385,2023,12,12,9,23,58,0,346
39.25635,2023,12,12,9,23,59,0,346
78.76995,2023,12,12,9,24,0,0,346
56.64645,2023,12,12,9,24,1,0,346
74.75685,2023,12,12,9,24,2,0,346
99.24705,2023,12,12,9,24,3,0,346
87.9109,2023,12,12,9,24,5,0,346
82.3886,2023,12,12,9,24,6,0,346
56.13195,2023,12,12,9,24,7,0,346
30.54415,2023,12,12,9,24,8,0,346
45.39605,2023,12,12,9,24,9,0,346
56.13195,2023,12,12,9,24,10,0,346
38.77615,2023,12,12,9,24,11,0,346
33.01375,2023,12,12,9,24,12,0,346
28.5376,2023,12,12,9,24,13,0,346
27.45715,2023,12,12,9,24,14,0,346
25.33055,2023,12,12,9,24,15,0,346
43.904,2023,12,12,9,24,16,0,346
46.4765,2023,12,12,9,24,17,0,346
82.30285,2023,12,12,9,24,18,0,346
86.41885,2023,12,12,9,24,19,0,346
43.88685,2023,12,12,9,24,22,0,346
49.4949,2023,12,12,9,24,28,0,346
62.30595,2023,12,12,9,24,29,0,346
80.34775,2023,12,12,9,24,30,0,346
45.43035,2023,12,12,9,24,32,0,346
49.4263,2023,12,12,9,24,33,0,346
52.6162,2023,12,12,9,24,34,0,346
43.8011,2023,12,12,9,24,35,0,346
42.3948,2023,12,12,9,24,36,0,346
56.0805,2023,12,12,9,24,37,0,346
83.2804,2023,12,12,9,24,42,0,346
92.5414,2023,12,12,9,24,43,0,346
98.62965,2023,12,12,9,24,44,0,346
88.54545,2023,12,12,9,24,45,0,346
79.6789,2023,12,12,9,24,46,0,346
82.3886,2023,12,12,9,24,47,0,346
80.3306,2023,12,12,9,24,48,0,346
67.00505,2023,12,12,9,24,49,0,346
49.4949,2023,12,12,9,24,50,0,346
90.00319,2023,12,12,9,25,18,0,346
71.15535,2023,12,12,9,25,44,0,346
61.2941,2023,12,12,9,27,29,0,346
87.41355,2023,12,12,9,31,14,0,346
84.80675,2023,12,12,9,33,14,0,346
40.3025,2023,12,12,9,35,39,0,346
49.392,2023,12,12,9,36,21,0,346
99.88159,2023,12,12,9,39,56,0,346
56.16625,2023,12,12,9,41,47,0,346
70.60655,2023,12,12,9,45,9,0,346
36.64955,2023,12,12,9,45,10,0,346
38.67325,2023,12,12,9,45,11,0,346
38.19305,2023,12,12,9,45,12,0,346
35.72345,2023,12,12,9,45,13,0,346
35.6034,2023,12,12,9,45,14,0,346
24.37015,2023,12,12,9,45,15,0,346
23.2897,2023,12,12,9,45,18,0,346
37.19835,2023,12,12,9,45,19,0,346
60.17935,2023,12,12,9,45,20,0,346
56.57785,2023,12,12,9,45,23,0,346
64.4154,2023,12,12,9,45,24,0,346
95.5769,2023,12,12,9,46,33,0,346
73.59065,2023,12,12,9,46,34,0,346
85.81861,2023,12,12,9,46,37,0,346
79.86755,2023,12,12,9,46,38,0,346
80.82794,2023,12,12,9,46,39,0,346
81.8398,2023,12,12,9,46,40,0,346
80.8108,2023,12,12,9,46,42,0,346
79.7818,2023,12,12,9,46,43,0,346
80.79365,2023,12,12,9,46,44,0,346
81.78835,2023,12,12,9,46,45,0,346
93.10735,2023,12,12,9,46,48,0,346
89.50584,2023,12,12,9,46,49,0,346
88.92276,2023,12,12,9,49,5,0,346
68.51425,2023,12,12,9,49,45,0,346
83.8978,2023,12,12,9,59,52,0,346
57.19525,2023,12,12,10,0,6,0,346
30.4927,2023,12,12,10,0,23,0,346
55.20585,2023,12,12,10,0,35,0,346
56.6293,2023,12,12,10,1,0,0,346
60.79675,2023,12,12,10,1,10,0,346
50.0437,2023,12,12,10,1,18,0,346
46.87095,2023,12,12,10,1,30,0,346
56.64645,2023,12,12,10,28,43,0,346
63.30065,2023,12,12,10,28,44,0,346
81.27385,2023,12,12,10,31,37,0,346
71.56695,2023,12,12,10,32,44,0,346
90.552,2023,12,12,10,32,54,0,346
61.2598,2023,12,12,10,33,4,0,346
44.88155,2023,12,12,10,33,5,0,346
49.5292,2023,12,12,10,33,6,0,346
38.759,2023,12,12,10,33,7,0,346
41.7431,2023,12,12,10,33,8,0,346
39.6851,2023,12,12,10,33,9,0,346
47.35115,2023,12,12,10,33,10,0,346
62.9062,2023,12,12,10,33,13,0,346
22.34645,2023,12,12,10,33,14,0,346
88.4597,2023,12,12,10,33,15,0,346
89.54015,2023,12,12,10,33,16,0,346
92.6443,2023,12,12,10,33,17,0,346
98.7154,2023,12,12,10,33,21,0,346
78.80424,2023,12,12,10,33,25,0,346
92.52425,2023,12,12,10,33,26,0,346
71.5841,2023,12,12,10,33,29,0,346
71.0696,2023,12,12,10,33,30,0,346
74.088,2023,12,12,10,33,31,0,346
80.31345,2023,12,12,10,33,33,0,346
59.28755,2023,12,12,10,33,34,0,346
75.20275,2023,12,12,10,33,35,0,346
67.93115,2023,12,12,10,33,36,0,346
49.92365,2023,12,12,10,33,38,0,346
90.05466,2023,12,12,10,33,39,0,346
56.6293,2023,12,12,10,33,40,0,346
32.0362,2023,12,12,10,33,41,0,346
64.39825,2023,12,12,10,33,42,0,346
90.4834,2023,12,12,10,33,43,0,346
98.8183,2023,12,12,10,33,50,0,346
77.67235,2023,12,12,10,34,7,0,346
80.8108,2023,12,12,10,34,8,0,346
87.51645,2023,12,12,10,34,9,0,346
92.5757,2023,12,12,10,34,22,0,346
96.16005,2023,12,12,10,40,12,0,346
97.6178,2023,12,12,10,40,58,0,346
